country,scenario,month,predicted_norm_volume
Indonesia,Indonesia_with_United_States_policies,5,0.0054147006
Indonesia,Indonesia_with_United_States_policies,6,0.00555924
Indonesia,Indonesia_with_United_States_policies,7,0.005466194
Indonesia,Indonesia_with_United_States_policies,8,0.005466194
Indonesia,Indonesia_with_United_States_policies,9,0.005466194
Indonesia,Indonesia_with_United_States_policies,10,0.0053758556
Indonesia,Indonesia_with_United_States_policies,11,0.005518032
Indonesia,Indonesia_with_United_States_policies,12,0.0053099645
Indonesia,Indonesia_with_Russia_policies,1,0.0052721086
Indonesia,Indonesia_with_Russia_policies,2,0.00579169
Indonesia,Indonesia_with_Russia_policies,3,0.0058650253
Indonesia,Indonesia_with_Russia_policies,4,0.0057420013
Indonesia,Indonesia_with_Russia_policies,5,0.005818697
Indonesia,Indonesia_with_Russia_policies,6,0.0057959566
Indonesia,Indonesia_with_Russia_policies,7,0.005554766
Indonesia,Indonesia_with_Russia_policies,8,0.0056650974
Indonesia,Indonesia_with_Russia_policies,9,0.0056650974
Indonesia,Indonesia_with_Russia_policies,10,0.0055115037
Indonesia,Indonesia_with_Russia_policies,11,0.0056212903
Indonesia,Indonesia_with_Russia_policies,12,0.005480683
